[{inputs, [20,20,13,0,1,1,0]} , {output, [9]}]
[{inputs, [28,17,20,1,0,0,0]} , {output, [4]}]
[{inputs, [17,5,1,0,0,1,1]} , {output, [3]}]
[{inputs, [15,6,13,0,1,0,0]} , {output, [9]}]
[{inputs, [27,17,16,1,0,1,0]} , {output, [10]}]
[{inputs, [25,6,17,1,0,1,1]} , {output, [2]}]
[{inputs, [12,7,3,1,1,1,1]} , {output, [7]}]
[{inputs, [30,6,20,1,0,0,0]} , {output, [9]}]
[{inputs, [15,1,13,0,1,0,1]} , {output, [10]}]
[{inputs, [23,5,6,1,1,0,1]} , {output, [9]}]
[{inputs, [30,4,17,0,0,0,1]} , {output, [8]}]
[{inputs, [26,20,9,0,0,0,0]} , {output, [7]}]
[{inputs, [11,17,18,0,0,1,0]} , {output, [4]}]
[{inputs, [20,5,19,1,1,1,1]} , {output, [3]}]
[{inputs, [26,15,16,0,0,0,0]} , {output, [10]}]
[{inputs, [30,6,16,1,1,1,0]} , {output, [8]}]
[{inputs, [30,4,16,0,1,1,1]} , {output, [5]}]
[{inputs, [19,13,9,0,0,0,1]} , {output, [1]}]
[{inputs, [11,1,13,0,0,0,1]} , {output, [3]}]
[{inputs, [29,12,14,0,0,1,1]} , {output, [10]}]
[{inputs, [19,12,18,1,0,1,0]} , {output, [3]}]
[{inputs, [11,12,19,0,1,0,0]} , {output, [6]}]
[{inputs, [18,16,13,1,0,1,0]} , {output, [9]}]
[{inputs, [27,10,15,1,1,0,0]} , {output, [2]}]
[{inputs, [29,6,14,1,0,1,0]} , {output, [2]}]
[{inputs, [24,1,10,1,1,1,0]} , {output, [8]}]
[{inputs, [20,12,19,1,1,1,1]} , {output, [2]}]
[{inputs, [15,9,2,1,0,0,1]} , {output, [1]}]
[{inputs, [21,8,10,1,1,1,1]} , {output, [8]}]
[{inputs, [19,7,2,0,0,0,1]} , {output, [2]}]
[{inputs, [14,12,7,1,1,0,0]} , {output, [10]}]
[{inputs, [20,10,2,1,1,1,0]} , {output, [4]}]
[{inputs, [17,3,1,0,1,1,1]} , {output, [5]}]
[{inputs, [22,17,8,1,1,0,1]} , {output, [3]}]
[{inputs, [26,15,15,0,1,0,0]} , {output, [3]}]
[{inputs, [14,20,17,1,1,1,0]} , {output, [5]}]
[{inputs, [17,2,5,1,0,0,0]} , {output, [4]}]
[{inputs, [28,2,19,1,0,1,0]} , {output, [10]}]
[{inputs, [13,5,17,0,1,1,0]} , {output, [3]}]
[{inputs, [23,2,19,0,1,1,0]} , {output, [3]}]
[{inputs, [20,6,5,1,0,1,1]} , {output, [8]}]
[{inputs, [12,9,14,1,0,0,1]} , {output, [1]}]
[{inputs, [18,1,7,1,0,1,0]} , {output, [10]}]
[{inputs, [22,2,2,0,1,0,0]} , {output, [2]}]
[{inputs, [23,13,12,0,1,1,1]} , {output, [3]}]
[{inputs, [13,16,2,1,1,0,0]} , {output, [9]}]
[{inputs, [22,8,19,1,0,0,1]} , {output, [9]}]
[{inputs, [23,17,8,0,1,1,0]} , {output, [7]}]
[{inputs, [22,9,12,0,0,0,0]} , {output, [10]}]
[{inputs, [23,8,11,0,1,0,0]} , {output, [2]}]
[{inputs, [21,8,1,1,0,1,0]} , {output, [7]}]
[{inputs, [11,20,10,1,0,0,0]} , {output, [2]}]
[{inputs, [25,20,9,0,0,1,0]} , {output, [7]}]
[{inputs, [29,4,15,1,0,1,1]} , {output, [5]}]
[{inputs, [28,10,4,1,0,1,1]} , {output, [4]}]
[{inputs, [23,6,3,1,1,1,1]} , {output, [9]}]
[{inputs, [23,4,4,0,0,0,1]} , {output, [3]}]
[{inputs, [17,2,3,1,0,0,0]} , {output, [5]}]
[{inputs, [28,14,5,1,1,1,0]} , {output, [9]}]
[{inputs, [13,12,14,1,0,0,1]} , {output, [10]}]
[{inputs, [27,8,5,1,0,0,1]} , {output, [7]}]
[{inputs, [12,6,12,1,1,0,0]} , {output, [8]}]
[{inputs, [23,1,17,1,1,0,1]} , {output, [4]}]
[{inputs, [13,11,7,1,1,0,1]} , {output, [1]}]
[{inputs, [25,2,0,1,1,0,1]} , {output, [10]}]
[{inputs, [18,15,11,1,1,0,0]} , {output, [6]}]
[{inputs, [17,10,4,1,0,1,1]} , {output, [5]}]
[{inputs, [11,3,5,0,1,1,0]} , {output, [4]}]
[{inputs, [16,16,10,1,1,1,0]} , {output, [5]}]
[{inputs, [21,15,1,1,0,1,1]} , {output, [8]}]
[{inputs, [24,5,4,1,1,0,0]} , {output, [7]}]
[{inputs, [26,2,15,0,1,1,0]} , {output, [3]}]
[{inputs, [23,4,15,1,0,1,1]} , {output, [8]}]
[{inputs, [12,6,11,0,1,0,0]} , {output, [7]}]
[{inputs, [18,4,18,1,0,0,0]} , {output, [5]}]
[{inputs, [15,16,6,0,0,1,0]} , {output, [1]}]
[{inputs, [15,2,14,1,1,0,1]} , {output, [5]}]
[{inputs, [30,11,16,0,1,1,1]} , {output, [4]}]
[{inputs, [28,13,14,1,0,1,1]} , {output, [8]}]
[{inputs, [28,10,6,1,1,1,1]} , {output, [4]}]
[{inputs, [23,18,7,0,0,0,1]} , {output, [5]}]
[{inputs, [19,20,16,0,0,1,1]} , {output, [4]}]
[{inputs, [29,10,16,1,0,0,0]} , {output, [6]}]
[{inputs, [17,18,16,1,1,1,0]} , {output, [2]}]
[{inputs, [18,3,10,1,1,0,0]} , {output, [9]}]
[{inputs, [26,20,0,0,0,1,1]} , {output, [9]}]
[{inputs, [30,3,20,1,1,0,1]} , {output, [10]}]
[{inputs, [10,6,15,0,1,1,0]} , {output, [1]}]
[{inputs, [13,1,3,1,0,1,0]} , {output, [4]}]
[{inputs, [28,17,5,0,0,0,1]} , {output, [9]}]
[{inputs, [13,17,9,0,0,0,1]} , {output, [1]}]
[{inputs, [30,9,8,1,1,0,0]} , {output, [10]}]
[{inputs, [10,2,18,0,0,0,0]} , {output, [6]}]
[{inputs, [27,18,5,1,1,0,1]} , {output, [4]}]
[{inputs, [12,19,15,0,0,0,1]} , {output, [1]}]
[{inputs, [25,4,18,1,0,1,0]} , {output, [6]}]
[{inputs, [15,12,17,1,1,0,1]} , {output, [9]}]
[{inputs, [20,9,20,0,1,0,0]} , {output, [6]}]
[{inputs, [27,7,3,0,1,0,0]} , {output, [10]}]
[{inputs, [21,7,6,0,0,0,0]} , {output, [4]}]
[{inputs, [10,4,0,1,0,1,0]} , {output, [3]}]
[{inputs, [20,11,7,1,1,0,1]} , {output, [7]}]
[{inputs, [17,9,1,1,0,1,0]} , {output, [7]}]
[{inputs, [24,7,15,1,1,0,1]} , {output, [1]}]
[{inputs, [22,17,19,1,1,0,0]} , {output, [3]}]
[{inputs, [25,12,19,0,1,1,1]} , {output, [1]}]
[{inputs, [30,3,1,1,1,0,1]} , {output, [1]}]
[{inputs, [28,18,13,1,0,1,1]} , {output, [8]}]
[{inputs, [24,2,14,1,0,1,1]} , {output, [4]}]
[{inputs, [28,15,15,0,1,1,1]} , {output, [8]}]
[{inputs, [26,8,19,0,0,1,0]} , {output, [1]}]
[{inputs, [17,20,0,0,1,1,1]} , {output, [9]}]
[{inputs, [16,15,11,1,0,0,0]} , {output, [2]}]
[{inputs, [24,18,15,1,0,1,1]} , {output, [7]}]
[{inputs, [24,17,17,1,1,0,1]} , {output, [10]}]
[{inputs, [24,17,0,1,1,1,1]} , {output, [1]}]
[{inputs, [20,18,16,0,1,0,0]} , {output, [5]}]
[{inputs, [24,20,16,0,0,1,0]} , {output, [9]}]
[{inputs, [24,3,16,1,0,0,1]} , {output, [2]}]
[{inputs, [23,18,19,1,1,0,1]} , {output, [8]}]
[{inputs, [21,16,1,1,1,1,0]} , {output, [8]}]
[{inputs, [28,20,4,1,0,1,1]} , {output, [2]}]
[{inputs, [22,6,7,1,1,0,1]} , {output, [8]}]
[{inputs, [22,17,19,1,1,1,1]} , {output, [3]}]
[{inputs, [25,17,10,1,0,1,0]} , {output, [5]}]
[{inputs, [25,5,2,0,0,1,0]} , {output, [8]}]
[{inputs, [17,1,17,0,1,0,1]} , {output, [9]}]
[{inputs, [10,9,6,0,1,0,0]} , {output, [4]}]
[{inputs, [15,13,1,0,1,1,1]} , {output, [3]}]
[{inputs, [13,7,20,1,1,0,0]} , {output, [9]}]
[{inputs, [21,16,13,1,0,0,0]} , {output, [8]}]
[{inputs, [16,16,1,0,0,0,1]} , {output, [5]}]
[{inputs, [24,18,7,1,1,1,1]} , {output, [5]}]
[{inputs, [29,4,14,0,0,0,1]} , {output, [5]}]
[{inputs, [30,2,16,1,1,1,0]} , {output, [6]}]
[{inputs, [16,14,6,1,0,0,1]} , {output, [7]}]
[{inputs, [23,15,12,1,1,1,1]} , {output, [5]}]
[{inputs, [30,4,17,1,0,1,0]} , {output, [6]}]
[{inputs, [13,12,19,0,0,0,1]} , {output, [4]}]
[{inputs, [17,17,5,0,0,0,0]} , {output, [9]}]
[{inputs, [27,19,12,0,0,1,1]} , {output, [4]}]
[{inputs, [30,19,18,0,1,1,0]} , {output, [5]}]
[{inputs, [25,16,5,0,1,0,1]} , {output, [7]}]
[{inputs, [12,13,2,1,0,0,0]} , {output, [6]}]
[{inputs, [23,17,12,0,1,0,1]} , {output, [1]}]
[{inputs, [18,13,2,0,0,0,0]} , {output, [6]}]
[{inputs, [27,10,3,1,1,1,1]} , {output, [7]}]
[{inputs, [13,14,7,0,0,1,0]} , {output, [6]}]
[{inputs, [12,12,18,0,0,0,1]} , {output, [5]}]
[{inputs, [21,12,20,0,0,0,1]} , {output, [9]}]
[{inputs, [26,11,6,0,0,1,1]} , {output, [4]}]
[{inputs, [24,7,19,1,1,1,0]} , {output, [2]}]
[{inputs, [18,12,3,0,1,1,0]} , {output, [10]}]
[{inputs, [18,17,14,0,1,0,1]} , {output, [1]}]
[{inputs, [15,4,17,0,1,1,1]} , {output, [5]}]
[{inputs, [13,9,14,1,0,0,0]} , {output, [5]}]
[{inputs, [13,1,16,0,1,1,1]} , {output, [8]}]
[{inputs, [22,4,14,1,1,1,1]} , {output, [4]}]
[{inputs, [13,17,20,1,0,1,1]} , {output, [9]}]
[{inputs, [18,14,18,0,1,1,0]} , {output, [10]}]
[{inputs, [26,11,13,1,0,0,0]} , {output, [2]}]
[{inputs, [25,12,12,0,0,1,0]} , {output, [7]}]
[{inputs, [25,9,19,0,1,0,1]} , {output, [5]}]
[{inputs, [19,8,0,0,1,1,0]} , {output, [7]}]
[{inputs, [23,16,5,1,1,1,1]} , {output, [1]}]
[{inputs, [25,11,15,1,0,1,0]} , {output, [1]}]
[{inputs, [26,2,6,1,0,0,0]} , {output, [4]}]
[{inputs, [16,10,17,1,1,1,1]} , {output, [6]}]
[{inputs, [24,15,12,1,1,1,0]} , {output, [7]}]
[{inputs, [30,13,4,1,1,0,1]} , {output, [8]}]
[{inputs, [24,6,2,1,1,0,1]} , {output, [4]}]
[{inputs, [20,13,3,1,1,1,0]} , {output, [10]}]
[{inputs, [29,12,1,0,0,1,1]} , {output, [2]}]
[{inputs, [18,2,8,0,1,0,1]} , {output, [1]}]
[{inputs, [23,5,6,0,0,1,0]} , {output, [6]}]
[{inputs, [21,8,14,1,1,0,1]} , {output, [3]}]
[{inputs, [27,14,10,1,0,1,1]} , {output, [7]}]
[{inputs, [19,14,10,1,1,1,0]} , {output, [3]}]
[{inputs, [25,1,1,0,0,0,1]} , {output, [8]}]
[{inputs, [29,6,8,1,1,1,1]} , {output, [1]}]
[{inputs, [30,6,9,0,0,1,1]} , {output, [1]}]
[{inputs, [21,12,8,1,0,1,1]} , {output, [2]}]
[{inputs, [22,12,6,1,1,0,0]} , {output, [3]}]
[{inputs, [18,17,13,0,0,0,1]} , {output, [1]}]
[{inputs, [29,9,1,1,0,0,0]} , {output, [2]}]
[{inputs, [27,16,3,0,0,1,0]} , {output, [8]}]
[{inputs, [21,6,6,0,0,1,0]} , {output, [6]}]
[{inputs, [12,10,17,1,0,0,0]} , {output, [10]}]
[{inputs, [19,20,17,0,0,1,0]} , {output, [1]}]
[{inputs, [25,2,6,0,1,0,1]} , {output, [4]}]
[{inputs, [21,3,14,0,0,1,0]} , {output, [9]}]
[{inputs, [14,10,10,1,0,1,0]} , {output, [3]}]
[{inputs, [19,14,18,0,0,0,1]} , {output, [10]}]
[{inputs, [15,12,13,0,0,1,0]} , {output, [4]}]
[{inputs, [24,18,11,1,0,1,0]} , {output, [9]}]
[{inputs, [11,9,3,0,1,1,1]} , {output, [1]}]
[{inputs, [30,2,7,0,0,1,1]} , {output, [4]}]
[{inputs, [19,19,17,1,1,1,1]} , {output, [2]}]
[{inputs, [18,18,0,1,1,1,0]} , {output, [6]}]
[{inputs, [23,16,19,1,0,1,0]} , {output, [10]}]
[{inputs, [19,12,1,1,0,1,0]} , {output, [9]}]
[{inputs, [11,4,3,1,1,1,0]} , {output, [9]}]
[{inputs, [13,9,2,0,0,0,0]} , {output, [10]}]
[{inputs, [17,4,3,0,0,1,0]} , {output, [1]}]
[{inputs, [19,6,11,0,0,1,1]} , {output, [10]}]
[{inputs, [26,14,8,1,0,1,1]} , {output, [6]}]
[{inputs, [29,11,17,1,0,0,1]} , {output, [4]}]
[{inputs, [16,20,0,1,0,1,1]} , {output, [6]}]
[{inputs, [15,7,19,0,0,0,1]} , {output, [8]}]
[{inputs, [23,12,19,0,0,0,1]} , {output, [2]}]
[{inputs, [14,5,8,1,0,0,1]} , {output, [6]}]
[{inputs, [14,13,8,1,1,0,0]} , {output, [9]}]
[{inputs, [13,4,6,1,1,0,1]} , {output, [3]}]
[{inputs, [27,17,15,0,1,0,1]} , {output, [9]}]
[{inputs, [23,10,1,0,1,1,0]} , {output, [9]}]
[{inputs, [12,13,7,1,1,0,1]} , {output, [4]}]
[{inputs, [24,12,19,0,1,0,1]} , {output, [6]}]
[{inputs, [13,15,7,0,0,0,0]} , {output, [5]}]
[{inputs, [14,2,4,1,0,0,0]} , {output, [3]}]
[{inputs, [12,11,16,0,1,1,0]} , {output, [6]}]
[{inputs, [28,16,14,0,1,1,0]} , {output, [9]}]
[{inputs, [25,5,19,1,0,0,1]} , {output, [2]}]
[{inputs, [17,20,5,1,0,1,0]} , {output, [9]}]
[{inputs, [17,9,12,1,1,0,0]} , {output, [8]}]
[{inputs, [10,16,11,0,0,0,1]} , {output, [6]}]
[{inputs, [11,18,17,1,1,0,1]} , {output, [7]}]
[{inputs, [18,18,15,0,1,1,1]} , {output, [9]}]
[{inputs, [30,18,18,0,1,1,1]} , {output, [10]}]
[{inputs, [21,17,13,1,1,0,0]} , {output, [9]}]
[{inputs, [26,15,16,0,0,0,0]} , {output, [4]}]
[{inputs, [23,14,17,0,1,0,1]} , {output, [9]}]
[{inputs, [30,8,15,0,1,0,1]} , {output, [8]}]
[{inputs, [28,19,19,1,1,0,0]} , {output, [3]}]
[{inputs, [26,2,19,0,0,1,1]} , {output, [9]}]
[{inputs, [17,11,18,1,0,0,1]} , {output, [9]}]
[{inputs, [17,5,9,0,0,0,1]} , {output, [2]}]
[{inputs, [22,15,7,1,0,1,1]} , {output, [5]}]
[{inputs, [15,2,14,1,0,0,1]} , {output, [2]}]
[{inputs, [23,4,10,0,1,1,1]} , {output, [7]}]
[{inputs, [27,2,6,0,1,0,0]} , {output, [3]}]
[{inputs, [28,14,12,1,1,1,0]} , {output, [3]}]
[{inputs, [28,8,19,1,1,1,0]} , {output, [3]}]
[{inputs, [11,15,14,0,0,0,1]} , {output, [1]}]
[{inputs, [11,18,19,1,0,1,0]} , {output, [5]}]
[{inputs, [24,5,14,1,0,0,1]} , {output, [1]}]
[{inputs, [24,4,15,0,0,1,1]} , {output, [10]}]
[{inputs, [13,10,5,0,0,0,1]} , {output, [8]}]
[{inputs, [17,16,12,0,0,0,1]} , {output, [7]}]
[{inputs, [28,19,2,1,0,0,1]} , {output, [4]}]
[{inputs, [18,12,10,1,0,1,1]} , {output, [1]}]
[{inputs, [20,7,7,0,0,0,1]} , {output, [3]}]
[{inputs, [26,15,17,0,1,0,1]} , {output, [2]}]
[{inputs, [13,16,8,1,1,1,1]} , {output, [3]}]
[{inputs, [28,7,13,0,1,0,0]} , {output, [1]}]
[{inputs, [12,4,8,0,1,0,1]} , {output, [10]}]
[{inputs, [13,12,19,1,1,1,0]} , {output, [8]}]
[{inputs, [30,4,9,0,1,0,0]} , {output, [8]}]
[{inputs, [21,1,2,0,0,0,1]} , {output, [8]}]
[{inputs, [13,10,17,0,1,1,0]} , {output, [7]}]
[{inputs, [20,20,2,1,0,1,1]} , {output, [6]}]
[{inputs, [16,16,19,0,1,1,1]} , {output, [2]}]
[{inputs, [27,3,14,0,0,0,1]} , {output, [6]}]
[{inputs, [20,8,17,0,0,0,0]} , {output, [4]}]
[{inputs, [13,14,17,0,1,1,0]} , {output, [4]}]
[{inputs, [22,5,12,0,1,1,1]} , {output, [5]}]
[{inputs, [27,19,14,1,0,0,0]} , {output, [2]}]
[{inputs, [21,19,6,0,1,0,0]} , {output, [5]}]
[{inputs, [14,20,20,0,1,1,0]} , {output, [9]}]
[{inputs, [11,1,8,0,1,1,0]} , {output, [3]}]
[{inputs, [13,2,16,1,1,1,1]} , {output, [2]}]
[{inputs, [10,2,6,1,1,1,0]} , {output, [1]}]
[{inputs, [30,14,0,0,1,0,1]} , {output, [6]}]
[{inputs, [10,10,14,0,0,1,1]} , {output, [4]}]
[{inputs, [12,16,20,0,1,1,1]} , {output, [2]}]
[{inputs, [11,12,19,1,0,1,1]} , {output, [10]}]
[{inputs, [25,14,8,1,1,1,1]} , {output, [5]}]
[{inputs, [26,20,15,1,0,0,0]} , {output, [2]}]
[{inputs, [15,1,4,0,0,0,1]} , {output, [8]}]
[{inputs, [11,10,20,1,0,0,0]} , {output, [1]}]
[{inputs, [23,18,18,0,0,1,0]} , {output, [6]}]
[{inputs, [23,13,14,0,1,1,1]} , {output, [9]}]
[{inputs, [22,16,6,0,1,1,0]} , {output, [3]}]
[{inputs, [18,13,14,0,0,1,0]} , {output, [8]}]
[{inputs, [27,9,1,1,1,1,0]} , {output, [1]}]
[{inputs, [19,2,20,0,0,1,0]} , {output, [3]}]
[{inputs, [21,16,2,0,1,1,1]} , {output, [8]}]
[{inputs, [30,20,20,0,0,0,1]} , {output, [8]}]
[{inputs, [18,6,8,1,0,0,1]} , {output, [1]}]
[{inputs, [11,16,5,1,1,1,1]} , {output, [6]}]
[{inputs, [13,9,17,0,0,0,1]} , {output, [5]}]
[{inputs, [29,5,11,0,1,1,0]} , {output, [6]}]
[{inputs, [18,12,3,1,1,0,0]} , {output, [7]}]
[{inputs, [30,12,10,1,0,1,0]} , {output, [10]}]
[{inputs, [18,13,7,1,1,0,0]} , {output, [10]}]
[{inputs, [22,6,20,0,0,0,1]} , {output, [10]}]
[{inputs, [22,16,2,0,1,1,1]} , {output, [4]}]
[{inputs, [15,11,1,1,0,0,1]} , {output, [1]}]
[{inputs, [12,4,5,1,0,0,1]} , {output, [5]}]
[{inputs, [26,15,2,1,1,0,0]} , {output, [3]}]
[{inputs, [17,11,9,1,1,1,1]} , {output, [4]}]
[{inputs, [15,5,1,0,1,0,0]} , {output, [6]}]
[{inputs, [27,16,8,0,1,1,0]} , {output, [4]}]
[{inputs, [17,5,9,0,0,0,0]} , {output, [9]}]
[{inputs, [16,15,16,0,0,1,0]} , {output, [10]}]
[{inputs, [29,12,8,1,1,0,0]} , {output, [6]}]
[{inputs, [18,16,7,1,0,0,1]} , {output, [9]}]
[{inputs, [10,9,3,0,0,1,1]} , {output, [4]}]
[{inputs, [24,11,3,0,1,1,1]} , {output, [7]}]
[{inputs, [23,17,12,1,1,0,0]} , {output, [7]}]
[{inputs, [12,18,2,0,1,1,0]} , {output, [5]}]
[{inputs, [17,9,0,1,1,1,1]} , {output, [3]}]
[{inputs, [16,9,5,1,1,0,1]} , {output, [5]}]
[{inputs, [24,14,9,0,0,1,0]} , {output, [7]}]
[{inputs, [26,1,15,0,1,0,1]} , {output, [10]}]
[{inputs, [12,17,6,1,0,1,1]} , {output, [5]}]
[{inputs, [12,16,8,1,1,0,1]} , {output, [10]}]
[{inputs, [16,16,18,1,0,0,1]} , {output, [7]}]
[{inputs, [11,17,6,1,1,0,0]} , {output, [3]}]
[{inputs, [21,1,17,0,1,0,0]} , {output, [10]}]
[{inputs, [17,12,2,0,0,0,1]} , {output, [3]}]
[{inputs, [15,6,2,0,1,0,1]} , {output, [7]}]
[{inputs, [20,6,8,1,1,0,0]} , {output, [6]}]
[{inputs, [26,3,5,0,0,0,0]} , {output, [9]}]
[{inputs, [14,18,13,1,0,1,0]} , {output, [6]}]
[{inputs, [28,18,15,0,0,1,1]} , {output, [5]}]
[{inputs, [17,8,5,0,0,1,1]} , {output, [9]}]
[{inputs, [26,13,15,1,0,0,0]} , {output, [10]}]
[{inputs, [13,9,17,0,0,1,1]} , {output, [6]}]
[{inputs, [19,12,11,1,1,1,0]} , {output, [4]}]
[{inputs, [22,8,17,0,0,1,0]} , {output, [2]}]
[{inputs, [20,19,5,1,0,1,0]} , {output, [10]}]
[{inputs, [24,16,12,0,1,0,0]} , {output, [10]}]
[{inputs, [18,4,5,1,1,0,0]} , {output, [6]}]
[{inputs, [27,3,15,0,1,0,0]} , {output, [9]}]
[{inputs, [10,11,7,0,0,1,0]} , {output, [9]}]
[{inputs, [16,15,13,1,0,1,1]} , {output, [1]}]
[{inputs, [14,19,2,1,0,0,0]} , {output, [7]}]
[{inputs, [10,19,11,1,1,0,0]} , {output, [3]}]
